	Heart_eGFP_1	Heart_eGFP_2	Heart_eGFP_4	Heart_eGFP_5		Heart_hACE2_8	Heart_hACE2_9	Heart_hACE2_10	Kidney_eGFP_1	Kidney_eGFP_2	Kidney_eGFP_3	Kidney_eGFP_5	Kidney_hACE2_8	Kidney_hACE2_9	Kidney_hACE2_10	Lung_eGFP_2	Lung_eGFP_4	Lung_eGFP_5	Lung_hACE2_6	Lung_hACE2_8	Lung_hACE2_10	Spleen_eGFP_1	Spleen_eGFP_2	Spleen_eGFP_4	Spleen_eGFP_5	Spleen_hACE2_6	Spleen_hACE2_8	Spleen_hACE2_9	Spleen_hACE2_10
Ptprc	95	192	164	132		421	224	125	178	277	300	250	412	366	208	4233	2604	2541	3111	3005	2314	32010	36808	38140	32487	24452	33135	29916	30374
Jak2	479	564	490	503		640	848	711	713	917	819	648	882	921	709	1403	1320	1271	1636	1387	1382	2825	3329	3306	2978	3359	2998	3297	3498
Lat	3	5	6	8		30	13	10	8	13	23	11	36	25	19	253	162	192	369	289	258	1705	2321	2616	2585	2178	1998	2228	2798
Tyk2	238	325	313	271		529	543	524	409	471	455	420	643	628	485	874	686	734	1211	1267	1178	1837	2018	2047	2018	2513	3267	2957	3273
Ikzf1	13	29	31	27	24	95	66	26	48	83	89	72	140	76	27	657	398	365	779	706	581	7239	7058	7382	6957	8204	9841	8836	9896
Smc4	226	303	242	270	252	314	343	292	404	503	526	449	538	472	373	1498	1334	1325	1467	1394	1220	4446	5891	5328	5372	3472	5102	3855	4191
Stat6	1033	1170	1182	1283	1232	1482	1994	1651	1704	2124	2051	1694	2303	2427	1852	3935	3070	3164	4046	3998	4079	4988	4931	5425	5079	5586	6233	6118	6828
Ikzf1	13	29	31	27	24	95	66	26	48	83	89	72	140	76	27	657	398	365	779	706	581	7239	7058	7382	6957	8204	9841	8836	9896
																													
																													
																													
																													
	0.20862184								0.256387681							0.63044566						0.064003467							
	0.01017137								0.509047438							0.211786808						0.315142008							
	0.072202467								0.071656942							0.072694713						0.982480248							
	0.000156614								0.023443486							0.001860904						0.00149519							
	0.084962916								0.796353136							0.119242261						0.002897205							
	0.062731824								0.861141436							0.797428148						0.053026267							
	0.011710973								0.189652318							0.076962868						0.007912436							
	0.084962916								0.796353136							0.119242261						0.002897205							
